treatment_id,animal_id,health_record_id,disease,diagnosis_date,treatment_start_date,medicine,medicine_type,dose,duration_days,veterinarian,isolation_advised,outcome,followup_date,cost_inr
TR0275,DS140,HR0183,Lumpy_Skin_Disease,2026-09-01,2026-09-01,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,Yes,Recovered,2026-09-07,2900
TR0276,DS140,HR0183,Lumpy_Skin_Disease,2026-09-01,2026-09-02,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. R. Deshpande,Yes,Recovered,2026-09-18,1300
TR0277,DS140,HR0183,Lumpy_Skin_Disease,2026-09-01,2026-09-02,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. R. Deshpande,Yes,Recovered,2026-09-19,2550
TR0278,DS141,HR0185,Ringworm,2026-08-16,2026-08-16,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. S. Joshi,No,Recovered,2026-09-06,1150
TR0279,DS141,HR0185,Ringworm,2026-08-16,2026-08-17,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. S. Joshi,No,Recovered,2026-09-06,1000
TR0280,DS142,HR0187,Ringworm,2026-05-18,2026-05-18,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. S. Joshi,No,Under treatment,2026-06-04,1100
TR0281,DS143,HR0188,Lumpy_Skin_Disease,2026-09-03,2026-09-04,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Recovered,2026-09-15,1050
TR0282,DS143,HR0188,Lumpy_Skin_Disease,2026-09-03,2026-09-03,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,Yes,Recovered,2026-09-10,1550
TR0283,DS143,HR0188,Lumpy_Skin_Disease,2026-09-03,2026-09-03,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Recovered,2026-09-17,450
TR0284,DS144,HR0189,Mastitis,2026-05-11,2026-05-11,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,No,Recovered,2026-05-21,750
TR0285,DS144,HR0189,Mastitis,2026-05-11,2026-05-11,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. M. Sawant,No,Recovered,2026-05-21,600
TR0286,DS144,HR0189,Mastitis,2026-05-11,2026-05-11,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. M. Sawant,No,Recovered,2026-05-29,2300
TR0287,DS145,HR0191,Mastitis,2026-07-17,2026-07-18,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,No,Recovered,2026-07-25,1000
TR0288,DS145,HR0191,Mastitis,2026-07-17,2026-07-18,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,No,Recovered,2026-07-22,250
TR0289,DS145,HR0191,Mastitis,2026-07-17,2026-07-18,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Recovered,2026-08-04,3300
TR0290,DS146,HR0193,Mastitis,2026-05-10,2026-05-10,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,No,Recovered,2026-05-17,3450
TR0291,DS146,HR0193,Mastitis,2026-05-10,2026-05-11,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,No,Recovered,2026-05-19,1400
TR0292,DS146,HR0193,Mastitis,2026-05-10,2026-05-11,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. P. Naik,No,Recovered,2026-05-29,1750
TR0293,DS148,HR0196,Mastitis,2026-08-27,2026-08-28,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,No,Under treatment,2026-09-06,350
TR0294,DS148,HR0196,Mastitis,2026-08-27,2026-08-28,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,No,Under treatment,2026-09-04,2950
TR0295,DS148,HR0196,Mastitis,2026-08-27,2026-08-28,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Under treatment,2026-09-13,400
TR0296,DS149,HR0197,Mastitis,2026-06-02,2026-06-03,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,No,Under treatment,2026-06-09,1900
TR0297,DS149,HR0197,Mastitis,2026-06-02,2026-06-02,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,No,Under treatment,2026-06-08,2950
TR0298,DS149,HR0197,Mastitis,2026-06-02,2026-06-03,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Under treatment,2026-06-20,3450
TR0299,DS150,HR0198,Foot_Mouth_Disease,2026-08-05,2026-08-05,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. S. Joshi,Yes,Under treatment,2026-08-18,2450
TR0300,DS150,HR0198,Foot_Mouth_Disease,2026-08-05,2026-08-05,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,Yes,Under treatment,2026-08-17,1050
TR0301,DS150,HR0198,Foot_Mouth_Disease,2026-08-05,2026-08-06,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. S. Joshi,Yes,Under treatment,2026-08-17,1500
TR0302,DS151,HR0199,Healthy,2026-07-19,2026-07-19,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. R. Deshpande,No,Recovered,2026-07-23,1600
TR0303,DS152,HR0200,Healthy,2026-06-07,2026-06-07,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. S. Joshi,No,Recovered,2026-07-13,3050
TR0304,DS153,HR0201,Lumpy_Skin_Disease,2026-08-09,2026-08-09,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,Yes,Recovered,2026-08-16,850
TR0305,DS153,HR0201,Lumpy_Skin_Disease,2026-08-09,2026-08-09,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. V. Thorat,Yes,Recovered,2026-08-14,1300
TR0306,DS153,HR0201,Lumpy_Skin_Disease,2026-08-09,2026-08-09,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. V. Thorat,Yes,Recovered,2026-08-26,3550
TR0307,DS153,HR0201,Lumpy_Skin_Disease,2026-08-09,2026-08-09,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. V. Thorat,Yes,Recovered,2026-08-27,850
TR0308,DS154,HR0203,Mastitis,2026-08-09,2026-08-09,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,No,Referred to lab,2026-08-17,2150
TR0309,DS154,HR0203,Mastitis,2026-08-09,2026-08-09,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. V. Thorat,No,Referred to lab,2026-08-19,2650
TR0310,DS154,HR0203,Mastitis,2026-08-09,2026-08-09,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. V. Thorat,No,Referred to lab,2026-08-25,1400
TR0311,DS155,HR0204,Ringworm,2026-09-08,2026-09-08,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Referred to lab,2026-09-27,650
TR0312,DS155,HR0204,Ringworm,2026-09-08,2026-09-08,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Referred to lab,2026-09-27,2450
TR0313,DS157,HR0206,Ringworm,2026-06-18,2026-06-18,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. V. Thorat,No,Under treatment,2026-07-08,2500
TR0314,DS157,HR0206,Ringworm,2026-06-18,2026-06-19,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. V. Thorat,No,Under treatment,2026-07-07,1200
TR0315,DS159,HR0208,Healthy,2026-07-31,2026-08-01,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. A. Kulkarni,No,Recovered,2026-09-03,600
TR0316,DS160,HR0209,Foot_Mouth_Disease,2026-08-25,2026-08-26,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. R. Deshpande,Yes,Recovered,2026-09-07,400
TR0317,DS160,HR0209,Foot_Mouth_Disease,2026-08-25,2026-08-26,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,Yes,Recovered,2026-09-02,2600
TR0318,DS161,HR0211,Ringworm,2026-09-11,2026-09-12,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. S. Joshi,No,Recovered,2026-09-29,1300
TR0319,DS161,HR0211,Ringworm,2026-09-11,2026-09-12,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. S. Joshi,No,Recovered,2026-10-02,2550
TR0320,DS162,HR0213,Healthy,2026-07-05,2026-07-05,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. V. Thorat,No,Recovered,2026-08-10,1350
TR0321,DS163,HR0214,Ringworm,2026-06-21,2026-06-21,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. S. Joshi,No,Recovered,2026-07-08,1100
TR0322,DS164,HR0216,Lumpy_Skin_Disease,2026-07-12,2026-07-13,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,Yes,Referred to lab,2026-07-22,3450
TR0323,DS164,HR0216,Lumpy_Skin_Disease,2026-07-12,2026-07-13,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,Yes,Referred to lab,2026-07-19,2700
TR0324,DS164,HR0216,Lumpy_Skin_Disease,2026-07-12,2026-07-13,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. S. Joshi,Yes,Referred to lab,2026-07-25,1200
TR0325,DS164,HR0216,Lumpy_Skin_Disease,2026-07-12,2026-07-12,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. S. Joshi,Yes,Referred to lab,2026-07-28,450
TR0326,DS165,HR0217,Lumpy_Skin_Disease,2026-08-03,2026-08-04,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,Yes,Recovered,2026-08-15,1800
TR0327,DS165,HR0217,Lumpy_Skin_Disease,2026-08-03,2026-08-03,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,Yes,Recovered,2026-08-10,3100
TR0328,DS165,HR0217,Lumpy_Skin_Disease,2026-08-03,2026-08-04,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. A. Kulkarni,Yes,Recovered,2026-08-16,300
TR0329,DS165,HR0217,Lumpy_Skin_Disease,2026-08-03,2026-08-04,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. A. Kulkarni,Yes,Recovered,2026-08-24,3500
TR0330,DS166,HR0219,Ringworm,2026-05-20,2026-05-21,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. P. Naik,No,Under treatment,2026-06-10,2150
TR0331,DS166,HR0219,Ringworm,2026-05-20,2026-05-20,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. P. Naik,No,Under treatment,2026-06-06,1400
TR0332,DS169,HR0222,Healthy,2026-06-15,2026-06-15,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. V. Thorat,No,Recovered,2026-07-22,2950
TR0333,DS170,HR0223,Healthy,2026-07-24,2026-07-24,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. M. Sawant,No,Recovered,2026-08-27,600
TR0334,DS171,HR0224,Mastitis,2026-06-12,2026-06-12,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,No,Recovered,2026-06-20,1750
TR0335,DS171,HR0224,Mastitis,2026-06-12,2026-06-13,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,No,Recovered,2026-06-22,1350
TR0336,DS172,HR0226,Lumpy_Skin_Disease,2026-05-29,2026-05-29,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Recovered,2026-06-05,650
TR0337,DS172,HR0226,Lumpy_Skin_Disease,2026-05-29,2026-05-30,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,Yes,Recovered,2026-06-07,300
TR0338,DS172,HR0226,Lumpy_Skin_Disease,2026-05-29,2026-05-29,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Recovered,2026-06-11,2300
TR0339,DS172,HR0226,Lumpy_Skin_Disease,2026-05-29,2026-05-29,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. P. Naik,Yes,Recovered,2026-06-14,1300
TR0340,DS173,HR0228,Lumpy_Skin_Disease,2026-07-11,2026-07-11,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,Yes,Under treatment,2026-07-23,900
TR0341,DS173,HR0228,Lumpy_Skin_Disease,2026-07-11,2026-07-11,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,Yes,Under treatment,2026-07-18,2150
TR0342,DS173,HR0228,Lumpy_Skin_Disease,2026-07-11,2026-07-11,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. S. Joshi,Yes,Under treatment,2026-07-23,1350
TR0343,DS175,HR0230,Lumpy_Skin_Disease,2026-06-22,2026-06-22,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Under treatment,2026-06-30,3500
TR0344,DS175,HR0230,Lumpy_Skin_Disease,2026-06-22,2026-06-23,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. M. Sawant,Yes,Under treatment,2026-07-01,3550
TR0345,DS175,HR0230,Lumpy_Skin_Disease,2026-06-22,2026-06-22,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. M. Sawant,Yes,Under treatment,2026-07-06,3450
TR0346,DS176,HR0231,Foot_Mouth_Disease,2026-06-06,2026-06-07,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. R. Deshpande,Yes,Recovered,2026-06-18,3000
TR0347,DS176,HR0231,Foot_Mouth_Disease,2026-06-06,2026-06-07,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,Yes,Recovered,2026-06-16,2700
TR0348,DS176,HR0231,Foot_Mouth_Disease,2026-06-06,2026-06-07,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. R. Deshpande,Yes,Recovered,2026-06-21,3150
TR0349,DS178,HR0234,Lumpy_Skin_Disease,2026-09-04,2026-09-05,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Recovered,2026-09-12,1650
TR0350,DS178,HR0234,Lumpy_Skin_Disease,2026-09-04,2026-09-04,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,Yes,Recovered,2026-09-11,1150
TR0351,DS178,HR0234,Lumpy_Skin_Disease,2026-09-04,2026-09-04,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Recovered,2026-09-21,2650
TR0352,DS178,HR0234,Lumpy_Skin_Disease,2026-09-04,2026-09-05,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. P. Naik,Yes,Recovered,2026-09-22,1550
TR0353,DS179,HR0236,Healthy,2026-09-16,2026-09-17,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. A. Kulkarni,No,Recovered,2026-10-18,3550
TR0354,DS180,HR0237,Ringworm,2026-08-29,2026-08-30,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Recovered,2026-09-18,1850
TR0355,DS180,HR0237,Ringworm,2026-08-29,2026-08-30,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Recovered,2026-09-18,3500
TR0356,DS181,HR0239,Foot_Mouth_Disease,2026-08-30,2026-08-30,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. A. Kulkarni,Yes,Recovered,2026-09-09,3300
TR0357,DS181,HR0239,Foot_Mouth_Disease,2026-08-30,2026-08-31,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,Yes,Recovered,2026-09-09,450
TR0358,DS181,HR0239,Foot_Mouth_Disease,2026-08-30,2026-08-30,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. A. Kulkarni,Yes,Recovered,2026-09-14,1750
TR0359,DS183,HR0242,Healthy,2026-08-26,2026-08-27,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. R. Deshpande,No,Recovered,2026-08-30,1950
TR0360,DS184,HR0243,Healthy,2026-05-20,2026-05-20,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. R. Deshpande,No,Recovered,2026-06-23,250
TR0361,DS185,HR0244,Mastitis,2026-07-01,2026-07-01,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,No,Recovered,2026-07-09,2800
TR0362,DS185,HR0244,Mastitis,2026-07-01,2026-07-02,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. M. Sawant,No,Recovered,2026-07-11,1100
TR0363,DS185,HR0244,Mastitis,2026-07-01,2026-07-02,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. M. Sawant,No,Recovered,2026-07-22,2300
TR0364,DS186,HR0246,Healthy,2026-06-13,2026-06-14,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. M. Sawant,No,Recovered,2026-07-17,3050
TR0365,DS187,HR0247,Healthy,2026-06-30,2026-06-30,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. R. Deshpande,No,Recovered,2026-07-06,2850
TR0366,DS189,HR0249,Mastitis,2026-07-08,2026-07-09,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,No,Recovered,2026-07-18,2850
TR0367,DS189,HR0249,Mastitis,2026-07-08,2026-07-09,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,No,Recovered,2026-07-14,1650
TR0368,DS189,HR0249,Mastitis,2026-07-08,2026-07-08,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. S. Joshi,No,Recovered,2026-07-24,2200
TR0369,DS190,HR0251,Ringworm,2026-08-15,2026-08-16,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. S. Joshi,No,Recovered,2026-08-31,1150
TR0370,DS191,HR0253,Lumpy_Skin_Disease,2026-08-31,2026-09-01,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,Yes,Under treatment,2026-09-10,800
TR0371,DS191,HR0253,Lumpy_Skin_Disease,2026-08-31,2026-09-01,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,Yes,Under treatment,2026-09-08,2050
TR0372,DS191,HR0253,Lumpy_Skin_Disease,2026-08-31,2026-09-01,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. S. Joshi,Yes,Under treatment,2026-09-13,1450
TR0373,DS191,HR0253,Lumpy_Skin_Disease,2026-08-31,2026-08-31,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. S. Joshi,Yes,Under treatment,2026-09-21,600
TR0374,DS192,HR0254,Lumpy_Skin_Disease,2026-05-29,2026-05-29,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Recovered,2026-06-10,2500
TR0375,DS192,HR0254,Lumpy_Skin_Disease,2026-05-29,2026-05-30,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. M. Sawant,Yes,Recovered,2026-06-03,2800
TR0376,DS192,HR0254,Lumpy_Skin_Disease,2026-05-29,2026-05-29,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. M. Sawant,Yes,Recovered,2026-06-11,3300
TR0377,DS192,HR0254,Lumpy_Skin_Disease,2026-05-29,2026-05-30,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. M. Sawant,Yes,Recovered,2026-06-15,1850
TR0378,DS193,HR0256,Healthy,2026-07-29,2026-07-30,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. V. Thorat,No,Recovered,2026-09-04,1600
TR0379,DS194,HR0257,Mastitis,2026-05-12,2026-05-12,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,No,Recovered,2026-05-22,2000
TR0380,DS194,HR0257,Mastitis,2026-05-12,2026-05-12,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,No,Recovered,2026-05-19,2400
TR0381,DS194,HR0257,Mastitis,2026-05-12,2026-05-12,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Recovered,2026-05-29,1050
TR0382,DS195,HR0259,Lumpy_Skin_Disease,2026-09-17,2026-09-17,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,Yes,Under treatment,2026-09-26,2600
TR0383,DS195,HR0259,Lumpy_Skin_Disease,2026-09-17,2026-09-18,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,Yes,Under treatment,2026-09-23,3050
TR0384,DS195,HR0259,Lumpy_Skin_Disease,2026-09-17,2026-09-18,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. R. Deshpande,Yes,Under treatment,2026-10-01,500
TR0385,DS195,HR0259,Lumpy_Skin_Disease,2026-09-17,2026-09-17,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. R. Deshpande,Yes,Under treatment,2026-10-06,500
TR0386,DS196,HR0260,Ringworm,2026-07-29,2026-07-29,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Under treatment,2026-08-16,1300
TR0387,DS196,HR0260,Ringworm,2026-07-29,2026-07-29,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Under treatment,2026-08-14,2450
TR0388,DS197,HR0261,Healthy,2026-06-15,2026-06-15,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. P. Naik,No,Recovered,2026-07-19,2550
TR0389,DS198,HR0262,Healthy,2026-08-12,2026-08-12,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. P. Naik,No,Recovered,2026-08-17,950
TR0390,DS199,HR0263,Lumpy_Skin_Disease,2026-08-20,2026-08-20,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,Yes,Recovered,2026-08-27,3200
TR0391,DS199,HR0263,Lumpy_Skin_Disease,2026-08-20,2026-08-21,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. V. Thorat,Yes,Recovered,2026-08-27,3350
TR0392,DS199,HR0263,Lumpy_Skin_Disease,2026-08-20,2026-08-21,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. V. Thorat,Yes,Recovered,2026-09-02,1250
TR0393,DS199,HR0263,Lumpy_Skin_Disease,2026-08-20,2026-08-21,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. V. Thorat,Yes,Recovered,2026-09-06,650
TR0394,DS200,HR0265,Ringworm,2026-08-28,2026-08-29,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Recovered,2026-09-18,350
TR0395,DS200,HR0265,Ringworm,2026-08-28,2026-08-28,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Recovered,2026-09-13,1800
TR0396,DS201,HR0267,Lumpy_Skin_Disease,2026-07-20,2026-07-20,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,Yes,Recovered,2026-07-29,3350
TR0397,DS201,HR0267,Lumpy_Skin_Disease,2026-07-20,2026-07-21,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. V. Thorat,Yes,Recovered,2026-07-26,1200
TR0398,DS201,HR0267,Lumpy_Skin_Disease,2026-07-20,2026-07-21,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. V. Thorat,Yes,Recovered,2026-08-03,2250
TR0399,DS201,HR0267,Lumpy_Skin_Disease,2026-07-20,2026-07-20,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. V. Thorat,Yes,Recovered,2026-08-08,950
TR0400,DS202,HR0269,Lumpy_Skin_Disease,2026-07-10,2026-07-10,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,Yes,Recovered,2026-07-17,3350
TR0401,DS202,HR0269,Lumpy_Skin_Disease,2026-07-10,2026-07-10,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,Yes,Recovered,2026-07-20,2100
TR0402,DS202,HR0269,Lumpy_Skin_Disease,2026-07-10,2026-07-10,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. R. Deshpande,Yes,Recovered,2026-07-23,1850
TR0403,DS202,HR0269,Lumpy_Skin_Disease,2026-07-10,2026-07-11,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. R. Deshpande,Yes,Recovered,2026-07-28,1450
TR0404,DS203,HR0271,Healthy,2026-06-17,2026-06-17,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. P. Naik,No,Recovered,2026-06-25,2550
TR0405,DS204,HR0272,Lumpy_Skin_Disease,2026-08-02,2026-08-03,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Under treatment,2026-08-10,1900
TR0406,DS204,HR0272,Lumpy_Skin_Disease,2026-08-02,2026-08-03,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,Yes,Under treatment,2026-08-07,1250
TR0407,DS204,HR0272,Lumpy_Skin_Disease,2026-08-02,2026-08-03,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Under treatment,2026-08-15,3450
TR0408,DS204,HR0272,Lumpy_Skin_Disease,2026-08-02,2026-08-03,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. P. Naik,Yes,Under treatment,2026-08-23,2250
TR0409,DS205,HR0273,Foot_Mouth_Disease,2026-05-25,2026-05-25,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. A. Kulkarni,Yes,Referred to lab,2026-06-05,1600
TR0410,DS205,HR0273,Foot_Mouth_Disease,2026-05-25,2026-05-26,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,Yes,Referred to lab,2026-06-06,2150
TR0411,DS205,HR0273,Foot_Mouth_Disease,2026-05-25,2026-05-26,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. A. Kulkarni,Yes,Referred to lab,2026-06-09,3350
TR0412,DS206,HR0274,Ringworm,2026-07-17,2026-07-18,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Recovered,2026-08-04,950
TR0413,DS206,HR0274,Ringworm,2026-07-17,2026-07-18,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Recovered,2026-08-06,1700
